pregid,postgid,frequency,dt,path
1015,14477,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L23PC_L23PC/1015-14477/1Hz_10ms/simulation.batch
22872,24257,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L23PC_L23PC/22872-24257/1Hz_10ms/simulation.batch
10741,2285,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L23PC_L23PC/10741-2285/1Hz_10ms/simulation.batch
114138,113162,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L23PC_L23PC/114138-113162/1Hz_10ms/simulation.batch
21962,3801,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L23PC_L23PC/21962-3801/1Hz_10ms/simulation.batch
11831,2489,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L23PC_L23PC/11831-2489/1Hz_10ms/simulation.batch
17414,22504,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L23PC_L23PC/17414-22504/1Hz_10ms/simulation.batch
3108,12520,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L23PC_L23PC/3108-12520/1Hz_10ms/simulation.batch
5615,12735,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L23PC_L23PC/5615-12735/1Hz_10ms/simulation.batch
3211,9352,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L23PC_L23PC/3211-9352/1Hz_10ms/simulation.batch
14881,14479,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L23PC_L23PC/14881-14479/1Hz_10ms/simulation.batch
6529,14916,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L23PC_L23PC/6529-14916/1Hz_10ms/simulation.batch
12816,23763,1.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L23PC_L23PC/12816-23763/1Hz_10ms/simulation.batch
16903,11518,10.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L23PC_L23PC/16903-11518/10Hz_10ms/simulation.batch
5741,22770,10.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L23PC_L23PC/5741-22770/10Hz_10ms/simulation.batch
124194,120573,10.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L23PC_L23PC/124194-120573/10Hz_10ms/simulation.batch
122787,14821,10.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L23PC_L23PC/122787-14821/10Hz_10ms/simulation.batch
10938,14581,10.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L23PC_L23PC/10938-14581/10Hz_10ms/simulation.batch
8311,17686,10.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L23PC_L23PC/8311-17686/10Hz_10ms/simulation.batch
124865,125895,10.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L23PC_L23PC/124865-125895/10Hz_10ms/simulation.batch
3741,14584,10.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L23PC_L23PC/3741-14584/10Hz_10ms/simulation.batch
121137,15343,10.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L23PC_L23PC/121137-15343/10Hz_10ms/simulation.batch
11009,1138,10.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L23PC_L23PC/11009-1138/10Hz_10ms/simulation.batch
15562,10600,10.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L23PC_L23PC/15562-10600/10Hz_10ms/simulation.batch
10119,10682,10.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L23PC_L23PC/10119-10682/10Hz_10ms/simulation.batch
117576,118550,10.0,10.0,/gpfs/bbp.cscs.ch/project/proj32/glusynapse_20190926_release/testing/egger_1999/simulations/L23PC_L23PC/117576-118550/10Hz_10ms/simulation.batch
